activation,hidden_dim,learning_rate,optimizer,runs,mean_test_accuracy,std_test_accuracy,mean_final_loss
relu,16,0.01,adam,3,0.9916666666666667,0.006804138174397738,0.04913665026721938
relu,64,0.1,momentum,3,0.9861111111111112,0.007856742013183886,0.04658033619982669
relu,16,0.05,adam,3,0.986111111111111,0.00392837100659197,0.042005873529084053
relu,64,0.1,adam,3,0.9833333333333334,0.006804138174397738,0.04076715932949166
relu,64,0.05,adam,3,0.9833333333333334,0.006804138174397738,0.04091643529089264
