epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,0.20570778142213822,0.9357666666666666,0.046549398785829546,0.9856
2,0.0657320600181818,0.9801666666666666,0.034032027345150706,0.9887
3,0.051540862774848935,0.9841,0.02947185316607356,0.99
